configuration,baseline,seed,open_pp,run_mean,density_variance,axis_bias,largest_open_square
seg-rnd99-First,tweak-rnd99,101,4.659999999999997,0.5701140771118611,0.00022733329843591744,-0.011018885398496943,1
seg-rnd99-First,tweak-rnd99,202,4.173333333333332,0.55763931084969,0.00022947063799257637,-0.016436005691602095,2
seg-rnd99-First,tweak-rnd99,303,4.538888888888891,0.5886194865942396,0.0003549497215836137,0.00327465742785898,2
seg-rnd99-Last,tweak-rnd99,101,5.768888888888895,0.745906089670783,0.0002338896433512368,-0.01699893974568801,1
seg-rnd99-Last,tweak-rnd99,202,6.057777777777773,0.76562987352531,5.119035508897575e-05,-0.0047065159241451975,1
seg-rnd99-Last,tweak-rnd99,303,5.622222222222234,0.7110447112938081,0.00010184987386067728,0.006259473676404611,1
seg-rnd99-Longest,tweak-rnd99,101,0.011111111111105743,-0.008563663064200533,9.41212972005212e-06,-0.002040314828637741,0
seg-rnd99-Longest,tweak-rnd99,202,0.011111111111105743,-0.005784188684148983,-7.28917475099913e-05,0.0005544682944166572,1
seg-rnd99-Longest,tweak-rnd99,303,-0.3144444444444332,-0.023863625298766067,-2.4779906096281882e-05,0.00024253798658497704,0
seg-rnd99-Weighted,tweak-rnd99,101,4.064444444444447,0.5028139793681667,0.00018479453546029536,-0.0029975432245252535,1
seg-rnd99-Weighted,tweak-rnd99,202,3.862222222222215,0.5017327945082193,0.00011303979025946713,0.0010866774359323092,1
seg-rnd99-Weighted,tweak-rnd99,303,3.9466666666666725,0.5084414811778961,0.00030425256799768494,-0.00044661774876139356,1
seg-rnd99-Weighted2,tweak-rnd99,101,2.646666666666661,0.28997471495469007,5.62423706054687e-05,-0.004569798151566528,0
seg-rnd99-Weighted2,tweak-rnd99,202,2.0577777777777726,0.27358362157650706,6.369493272569414e-05,0.0021003851069516456,1
seg-rnd99-Weighted2,tweak-rnd99,303,2.7266666666666737,0.33539099569507735,0.00012426477714821147,-0.0018156632726627304,1
seg-rnd99-Weighted3,tweak-rnd99,101,1.5622222222222177,0.16318460427058357,0.0001705889383951822,-0.0011349646930728422,0
seg-rnd99-Weighted3,tweak-rnd99,202,0.9133333333333269,0.11760636839289784,-5.20182044417768e-05,-0.002592826267258946,1
seg-rnd99-Weighted3,tweak-rnd99,303,0.8755555555555645,0.11685712500929757,9.474314583672448e-05,0.002612974141419926,2
seg-last-First,tweak-last,101,4.640000000000001,0.5906664800296544,0.0002500002966986758,-0.011938883359289226,0
seg-last-First,tweak-last,202,4.595555555555563,0.6322020047199288,0.0005243649694654678,-0.0214541600928505,1
seg-last-First,tweak-last,303,4.307777777777773,0.5980531204294097,0.0003916452584443273,-0.008143275970652862,2
seg-last-Last,tweak-last,101,6.033333333333331,0.8994738848392418,0.0001520829553957336,-0.00564682462621835,0
seg-last-Last,tweak-last,202,5.455555555555563,0.7994795763244751,0.00019402032428317615,-0.006488197728933707,1
seg-last-Last,tweak-last,303,5.334444444444458,0.8202956947557443,0.00023415869253653066,0.003464013142746034,1
seg-last-Longest,tweak-last,101,-0.12888888888889483,-0.01984923729754451,-3.427520681310625e-05,-0.0007974715167401235,-1
seg-last-Longest,tweak-last,202,-0.25777777777777544,-0.038680040133279636,-6.115404411598439e-05,0.0011390719247088388,0
seg-last-Longest,tweak-last,303,-0.4166666666666714,-0.03628354906487985,-4.857663755063592e-06,0.0004227678291639221,0
seg-last-Weighted,tweak-last,101,4.384444444444441,0.6327617120334414,0.00017549143543949794,-0.004974845103960379,0
seg-last-Weighted,tweak-last,202,3.4266666666666623,0.4953620107565442,0.0001634852268077709,0.004085740587086079,1
seg-last-Weighted,tweak-last,303,2.827777777777783,0.416766793699785,0.00019799753471657082,0.0003871600571037229,0
seg-last-Weighted2,tweak-last,101,2.3688888888888897,0.3442667403267796,7.387030212967444e-05,-0.001395171347824153,0
seg-last-Weighted2,tweak-last,202,1.63333333333334,0.2606171582780954,0.0001785477708887171,0.004461755738574133,1
seg-last-Weighted2,tweak-last,303,1.1611111111111114,0.20606984351506563,0.00014264945630674034,0.0006581157591874407,0
seg-last-Weighted3,tweak-last,101,0.9511111111111177,0.13200350303775954,1.741149337203382e-05,-0.0002232963095942279,-1
seg-last-Weighted3,tweak-last,202,0.9911111111111239,0.15017553255516836,6.913675378870092e-05,0.0025756241631137338,1
seg-last-Weighted3,tweak-last,303,0.5022222222222297,0.08695680003958817,7.210263852719932e-05,0.0017499491056269618,1
seg-first-First,tweak-first,101,6.4155555555555495,0.7956307510392562,0.0005276364750332301,-1.793506416021681e-05,1
seg-first-First,tweak-first,202,5.986666666666672,0.6996885769553152,0.000394311071325231,-0.01622867178541687,0
seg-first-First,tweak-first,303,5.9977777777777845,0.7193948112038298,0.0005505615764194064,0.001638948432130076,2
seg-first-Last,tweak-first,101,5.891111111111108,0.6475484051173077,0.0002694835238986542,-0.001708242585691624,1
seg-first-Last,tweak-first,202,6.708888888888886,0.717277805512404,0.0002122970298484518,-0.0047665690569613,0
seg-first-Last,tweak-first,303,6.191111111111113,0.678066837717938,0.0002785542523419417,0.001543257965021829,1
seg-first-Longest,tweak-first,101,-0.44444444444444997,0.0014539766588232972,9.444370976200789e-05,-0.002905779398587688,0
seg-first-Longest,tweak-first,202,-0.31666666666667,-0.012590197428227423,-1.1984083387586833e-05,0.0011932122106835426,0
seg-first-Longest,tweak-first,303,-0.4555555555555557,-0.01622073475805319,7.443322075737879e-05,0.0012515398991409328,1
seg-first-Weighted,tweak-first,101,4.711111111111116,0.4949923052444136,0.0004580770951730228,-0.0016100327017484442,0
seg-first-Weighted,tweak-first,202,4.04666666666666,0.4094197637648209,0.0003990733358595106,-0.008542221899427258,0
seg-first-Weighted,tweak-first,303,4.211111111111123,0.43197092001484005,0.0002265089529531973,0.0017327937622695624,1
seg-first-Weighted2,tweak-first,101,1.8688888888888826,0.19117323081049342,0.00024211580841629587,0.000815112849479421,0
seg-first-Weighted2,tweak-first,202,2.2066666666666706,0.21993811550348097,2.2434612556739974e-05,-0.0054046374619765355,0
seg-first-Weighted2,tweak-first,303,1.648888888888905,0.1548947807318446,0.00017688414962203415,-0.0025422373599709195,1
seg-first-Weighted3,tweak-first,101,1.6088888888888775,0.17055283202830163,0.0001865479363335501,0.0032879187703079423,0
seg-first-Weighted3,tweak-first,202,1.051111111111105,0.12026764068039197,0.00015178296124493618,-0.004710674120976704,0
seg-first-Weighted3,tweak-first,303,1.2322222222222194,0.11577052950640887,6.051191753811316e-05,-0.002134445000929703,0
seg-2lim10-First,tweak-2lim10,101,1.1088888888888704,0.056063980413213255,0.0004475424625255442,-0.013175168393227235,0
seg-2lim10-First,tweak-2lim10,202,1.6400000000000006,0.09785437080783455,0.0003364515693099413,-0.007799032378046862,1
seg-2lim10-First,tweak-2lim10,303,1.4633333333333383,0.09292474996655553,0.0004265966344762732,0.004161797780940732,1
seg-2lim10-Last,tweak-2lim10,101,4.299999999999983,0.7040498475278865,0.0004211405471519186,-0.002259659782174181,0
seg-2lim10-Last,tweak-2lim10,202,4.475555555555559,0.7212485210944024,0.0002092564759431063,-0.006073805566984862,1
seg-2lim10-Last,tweak-2lim10,303,4.672222222222217,0.7506235289585552,0.00021922938028971325,-0.0013593274436140747,1
seg-2lim10-Longest,tweak-2lim10,101,-0.7800000000000153,-0.11818884806769958,-4.0577076099477605e-08,-0.0024731376242556518,-1
seg-2lim10-Longest,tweak-2lim10,202,-0.7800000000000011,-0.13046191100561355,0.00010823078861943016,0.0009118737619930027,1
seg-2lim10-Longest,tweak-2lim10,303,-0.8233333333333377,-0.1550432205670349,6.0338991659658825e-05,0.0008008730687450164,0
seg-2lim10-Weighted,tweak-2lim10,101,2.228888888888889,0.40570845582674675,0.0001650490513554327,0.0002187436951699639,1
seg-2lim10-Weighted,tweak-2lim10,202,3.248888888888885,0.5192300101604239,0.00029584165855690283,0.0009629230933028579,1
seg-2lim10-Weighted,tweak-2lim10,303,2.3700000000000045,0.33902200168568175,0.00027712914148966426,0.003024064299685455,1
seg-2lim10-Weighted2,tweak-2lim10,101,1.2155555555555395,0.20269215510943717,9.164297315809473e-05,-0.002267607193578728,1
seg-2lim10-Weighted2,tweak-2lim10,202,1.3888888888889,0.22663288725433972,5.260554066410783e-05,0.00011466936630607322,2
seg-2lim10-Weighted2,tweak-2lim10,303,1.0477777777777817,0.1628445960942404,1.6209217354103052e-05,-0.0022818047298526416,2
seg-2lim10-Weighted3,tweak-2lim10,101,0.6644444444444417,0.10636540716499487,5.1591138486509154e-05,1.6253371337475236e-05,0
seg-2lim10-Weighted3,tweak-2lim10,202,0.24888888888888516,0.022764366829477467,2.3525538267912707e-05,0.0018101829464406672,2
seg-2lim10-Weighted3,tweak-2lim10,303,0.36111111111111427,0.047444848070081314,-3.182358211941186e-06,-0.0007548827663496808,0
seg-equal23short-First,tweak-equal23short,101,4.684444444444452,0.5494605762649227,0.00015670429159093797,-0.011799946423210549,1
seg-equal23short-First,tweak-equal23short,202,4.065555555555548,0.488268998171125,0.0001345669640435114,-0.0006472593635087104,1
seg-equal23short-First,tweak-equal23short,303,3.937777777777768,0.48618036187941094,5.483463428638586e-05,-0.0035681540743727085,2
seg-equal23short-Last,tweak-equal23short,101,6.022222222222226,0.6886136134141445,-2.882574222705977e-05,-0.0005434045630339996,1
seg-equal23short-Last,tweak-equal23short,202,5.714444444444439,0.6595002386785831,-0.0001293119218614368,-0.0032970297532269044,3
seg-equal23short-Last,tweak-equal23short,303,5.184444444444438,0.6275623734947544,-0.0001158936288621692,-0.008526343851179768,1
seg-equal23short-Longest,tweak-equal23short,101,-0.6488888888888766,-0.06372353704973577,0.00011876218230636031,-0.005046001508720567,0
seg-equal23short-Longest,tweak-equal23short,202,-0.9822222222222194,-0.09194446470872553,0.00020642812163741502,0.006633754412290612,0
seg-equal23short-Longest,tweak-equal23short,303,-1.0400000000000063,-0.10102787453814166,-8.003624810112866e-05,-0.0015705891743926607,0
seg-equal23short-Weighted,tweak-equal23short,101,3.240000000000009,0.3636809061100257,0.0003722473144531249,-0.005980743294499131,0
seg-equal23short-Weighted,tweak-equal23short,202,3.049999999999997,0.3528739446295086,0.00020599125049732372,0.0005744850418962764,2
seg-equal23short-Weighted,tweak-equal23short,303,2.62222222222222,0.2957912154474709,0.00010871449223271118,-0.006599173917801313,0
seg-equal23short-Weighted2,tweak-equal23short,101,1.4333333333333371,0.18346864180918043,3.533096666689269e-05,-0.008327198693843381,0
seg-equal23short-Weighted2,tweak-equal23short,202,1.3388888888888886,0.17267535805494738,-5.5546919504801686e-05,-0.0013291774648660675,1
seg-equal23short-Weighted2,tweak-equal23short,303,1.3911111111111012,0.17438930782455753,9.411338523582344e-06,-0.004058002014602376,0
seg-equal23short-Weighted3,tweak-equal23short,101,0.47555555555555884,0.07622829397654396,7.214929086190667e-05,-0.007130290340335599,0
seg-equal23short-Weighted3,tweak-equal23short,202,0.8122222222222177,0.08300238888615485,-8.417862432974347e-05,-0.0011886883553735954,0
seg-equal23short-Weighted3,tweak-equal23short,303,0.3133333333333326,0.057382844724831905,-3.143488566080728e-05,-0.004436275885424728,1
seg-sz2-3-First,tweak-sz2-3,101,4.286666666666662,0.4730763184704867,0.00017859950242219173,-0.0078111770161161135,0
seg-sz2-3-First,tweak-sz2-3,202,4.433333333333323,0.4629381173684104,0.00023652940326266802,-0.019811011560548382,-1
seg-sz2-3-First,tweak-sz2-3,303,4.071111111111108,0.42733886314340497,0.00038561533821953643,0.002465812173659262,1
seg-sz2-3-Last,tweak-sz2-3,101,4.8444444444444485,0.6003611747011619,0.00034405685354162163,-0.0077090053857526465,0
seg-sz2-3-Last,tweak-sz2-3,202,5.1244444444444355,0.5916391226601787,0.00013622878745750118,-0.0037995969965913153,0
seg-sz2-3-Last,tweak-sz2-3,303,4.771111111111111,0.5613948900620902,0.0002632949511210125,0.004079240504182929,1
seg-sz2-3-Longest,tweak-sz2-3,101,-0.006666666666660603,-0.002170943379346646,3.687950416847522e-05,0.0013607586174243596,-1
seg-sz2-3-Longest,tweak-sz2-3,202,0.3199999999999932,0.03236653620042418,-7.2626714353209295e-06,-0.0005863885332654582,0
seg-sz2-3-Longest,tweak-sz2-3,303,0.16111111111111143,0.017057710626072975,0.00018679936726887988,0.0014714427285984666,0
seg-sz2-3-Weighted,tweak-sz2-3,101,2.3955555555555605,0.28981419625923444,0.00032696713694819687,-0.004304709178023142,1
seg-sz2-3-Weighted,tweak-sz2-3,202,2.9044444444444366,0.3545933085853994,0.000278262428001121,0.0002331186039852889,-1
seg-sz2-3-Weighted,tweak-sz2-3,303,3.2555555555555458,0.3641552390624323,0.00043564059999254116,0.005600308470520794,0
seg-sz2-3-Weighted2,tweak-sz2-3,101,1.5377777777777766,0.2503117726024877,0.00010308977409645366,0.00034146719419420106,0
seg-sz2-3-Weighted2,tweak-sz2-3,202,1.8444444444444485,0.24286360457379574,0.00016417618151064222,-0.00038944427471457994,0
seg-sz2-3-Weighted2,tweak-sz2-3,303,0.9822222222222194,0.10966955864470895,0.00025976715087890604,0.004623131925165757,0
seg-sz2-3-Weighted3,tweak-sz2-3,101,1.184444444444452,0.15544115231668387,5.0665152514422644e-05,0.0022335754813272556,0
seg-sz2-3-Weighted3,tweak-sz2-3,202,0.602222222222224,0.06216274974437308,4.821413181446216e-05,-0.007401171670409094,-1
seg-sz2-3-Weighted3,tweak-sz2-3,303,0.8044444444444423,0.08564286209947003,0.0001043509977835195,0.004037752213031964,0
control-rnd99-unlimited,tweak-rnd99,101,0.4866666666666646,0.036171133319395476,4.059486389160151e-05,-0.002195142899891699,0
control-rnd99-unlimited,tweak-rnd99,202,-0.026666666666670835,0.006870327692790834,1.5977167200159127e-05,-0.0015991471342019959,1
